@RELATION CriterioMedia  
@ATTRIBUTE Nota integer 
@ATTRIBUTE PercFalta integer
@ATTRIBUTE resultado {Aprovado,Reprovado} 
@DATA 
9,5,Aprovado
0,5,Reprovado
7,12,Aprovado
0,28,Reprovado
5,28,Reprovado
10,27,Reprovado
3,12,Reprovado
9,35,Reprovado
10,22,Aprovado
10,17,Aprovado
8,3,Aprovado
2,11,Reprovado
6,20,Aprovado
5,7,Reprovado
0,28,Reprovado
9,30,Reprovado
3,17,Reprovado
9,33,Reprovado
6,10,Aprovado
8,20,Aprovado
4,25,Reprovado
5,12,Reprovado
10,35,Reprovado
8,48,Reprovado
8,1,Aprovado
4,24,Reprovado
3,29,Reprovado
1,10,Reprovado
1,12,Reprovado
4,14,Reprovado
0,49,Reprovado
1,50,Reprovado
10,44,Reprovado
2,38,Reprovado
3,29,Reprovado
3,50,Reprovado
10,49,Reprovado
3,46,Reprovado
1,49,Reprovado
0,50,Reprovado
8,49,Reprovado
0,49,Reprovado
4,23,Reprovado
4,37,Reprovado
9,23,Aprovado
8,31,Reprovado
1,7,Reprovado
3,48,Reprovado
5,19,Reprovado
4,25,Reprovado
4,18,Reprovado
9,44,Reprovado
5,45,Reprovado
3,23,Reprovado
5,41,Reprovado
5,32,Reprovado
1,33,Reprovado
6,18,Aprovado
5,27,Reprovado
5,10,Reprovado
10,36,Reprovado
9,42,Reprovado
4,8,Reprovado
8,30,Reprovado
0,47,Reprovado
8,6,Aprovado
5,28,Reprovado
0,27,Reprovado
9,24,Aprovado
9,21,Aprovado
10,9,Aprovado
1,45,Reprovado
0,37,Reprovado
9,17,Aprovado
9,41,Reprovado
0,42,Reprovado
8,7,Aprovado
1,33,Reprovado
7,5,Aprovado
6,4,Aprovado
9,15,Aprovado
3,49,Reprovado
7,36,Reprovado
4,21,Reprovado
2,48,Reprovado
5,11,Reprovado
3,42,Reprovado
9,2,Aprovado
3,37,Reprovado
1,6,Reprovado
4,24,Reprovado
1,5,Reprovado
0,16,Reprovado
5,19,Reprovado
7,28,Reprovado
4,34,Reprovado
1,41,Reprovado
1,25,Reprovado
6,20,Aprovado
3,13,Reprovado
10,18,Aprovado
2,44,Reprovado
8,48,Reprovado
3,18,Reprovado
8,49,Reprovado
7,47,Reprovado
9,41,Reprovado
7,22,Aprovado
0,18,Reprovado
3,42,Reprovado
6,48,Reprovado
7,34,Reprovado
8,1,Aprovado
4,37,Reprovado
3,40,Reprovado
1,17,Reprovado
9,39,Reprovado
10,35,Reprovado
10,44,Reprovado
5,5,Reprovado
4,9,Reprovado
5,0,Reprovado
4,15,Reprovado
1,41,Reprovado
8,16,Aprovado
4,10,Reprovado
7,35,Reprovado
8,31,Reprovado
2,14,Reprovado
7,17,Aprovado
0,6,Reprovado
2,19,Reprovado
10,47,Reprovado
2,23,Reprovado
1,18,Reprovado
2,5,Reprovado
2,18,Reprovado
8,41,Reprovado
8,40,Reprovado
9,0,Aprovado
2,50,Reprovado
5,46,Reprovado
2,9,Reprovado
4,47,Reprovado
10,29,Reprovado
4,12,Reprovado
5,27,Reprovado
8,34,Reprovado
8,20,Aprovado
9,32,Reprovado
10,48,Reprovado
9,8,Aprovado
1,25,Reprovado
1,28,Reprovado
2,25,Reprovado
4,49,Reprovado
3,28,Reprovado
8,30,Reprovado
10,29,Reprovado
6,30,Reprovado
2,27,Reprovado
4,20,Reprovado
1,33,Reprovado
7,25,Reprovado
2,47,Reprovado
1,3,Reprovado
0,20,Reprovado
3,37,Reprovado
4,36,Reprovado
7,44,Reprovado
7,26,Reprovado
1,40,Reprovado
0,5,Reprovado
2,9,Reprovado
8,13,Aprovado
7,40,Reprovado
2,5,Reprovado
1,7,Reprovado
9,17,Aprovado
6,15,Aprovado
2,28,Reprovado
6,8,Aprovado
8,19,Aprovado
3,47,Reprovado
5,22,Reprovado
8,15,Aprovado
8,10,Aprovado
6,7,Aprovado
4,26,Reprovado
9,17,Aprovado
3,24,Reprovado
3,15,Reprovado
8,39,Reprovado
2,26,Reprovado
6,34,Reprovado
7,0,Aprovado
1,37,Reprovado
9,15,Aprovado
4,6,Reprovado
1,9,Reprovado
4,10,Reprovado
0,18,Reprovado
7,1,Aprovado
9,12,Aprovado
