@RELATION CriterioProvas  
@ATTRIBUTE P1 integer
@ATTRIBUTE P2 integer
@ATTRIBUTE PercFalta integer
@ATTRIBUTE resultado {Aprovado,Reprovado} 
@DATA 
9,7,3,Aprovado
8,2,23,Reprovado
4,6,32,Reprovado
0,9,35,Reprovado
6,6,42,Reprovado
10,0,45,Reprovado
9,4,24,Aprovado
2,4,30,Reprovado
2,9,5,Aprovado
0,7,45,Reprovado
6,5,48,Reprovado
5,3,42,Reprovado
8,8,24,Aprovado
1,7,6,Reprovado
0,7,24,Reprovado
10,0,47,Reprovado
0,5,48,Reprovado
5,5,18,Aprovado
9,6,16,Aprovado
3,7,18,Aprovado
2,10,23,Aprovado
6,5,4,Aprovado
9,8,35,Reprovado
10,1,28,Reprovado
8,3,43,Reprovado
6,10,38,Reprovado
7,0,8,Reprovado
2,9,15,Aprovado
1,3,36,Reprovado
5,3,10,Reprovado
7,5,44,Reprovado
10,0,2,Reprovado
6,2,12,Reprovado
4,1,14,Reprovado
7,7,17,Aprovado
7,4,20,Aprovado
7,9,17,Aprovado
6,4,6,Reprovado
5,2,23,Reprovado
9,1,32,Reprovado
5,2,49,Reprovado
9,9,31,Reprovado
8,9,18,Aprovado
0,10,22,Aprovado
4,4,38,Reprovado
9,6,34,Reprovado
8,1,22,Reprovado
7,4,26,Reprovado
6,1,40,Reprovado
4,2,7,Reprovado
1,6,22,Reprovado
6,6,7,Aprovado
3,2,28,Reprovado
7,10,46,Reprovado
9,9,11,Aprovado
8,6,36,Reprovado
1,8,31,Reprovado
6,0,45,Reprovado
9,10,21,Aprovado
4,0,29,Reprovado
1,10,17,Aprovado
5,6,22,Aprovado
7,4,46,Reprovado
10,9,22,Aprovado
6,3,42,Reprovado
5,9,20,Aprovado
2,7,38,Reprovado
6,5,22,Aprovado
6,9,31,Reprovado
8,4,23,Aprovado
4,8,20,Aprovado
4,0,37,Reprovado
2,5,31,Reprovado
6,1,38,Reprovado
8,6,43,Reprovado
5,7,5,Aprovado
7,8,40,Reprovado
3,5,41,Reprovado
7,5,46,Reprovado
10,8,37,Reprovado
2,2,5,Reprovado
5,0,34,Reprovado
0,10,47,Reprovado
2,4,3,Reprovado
7,9,20,Aprovado
6,0,44,Reprovado
2,7,40,Reprovado
10,1,24,Reprovado
1,6,2,Reprovado
3,1,18,Reprovado
4,5,27,Reprovado
10,8,45,Reprovado
3,9,15,Aprovado
3,2,35,Reprovado
4,3,24,Reprovado
4,4,29,Reprovado
10,4,17,Aprovado
10,1,18,Reprovado
9,4,9,Aprovado
8,6,5,Aprovado
1,0,10,Reprovado
1,1,30,Reprovado
8,8,40,Reprovado
5,9,31,Reprovado
2,5,3,Reprovado
10,0,5,Reprovado
10,6,3,Aprovado
8,10,1,Aprovado
10,6,22,Aprovado
10,10,3,Aprovado
5,7,12,Aprovado
3,1,10,Reprovado
10,2,25,Reprovado
8,4,37,Reprovado
7,5,31,Reprovado
7,0,37,Reprovado
8,2,32,Reprovado
10,4,26,Reprovado
6,6,36,Reprovado
8,0,2,Reprovado
4,0,7,Reprovado
9,8,30,Reprovado
4,2,7,Reprovado
8,9,43,Reprovado
2,3,5,Reprovado
8,2,22,Reprovado
3,8,41,Reprovado
10,2,31,Reprovado
2,5,11,Reprovado
7,0,14,Reprovado
7,5,39,Reprovado
4,4,11,Reprovado
6,1,36,Reprovado
4,2,11,Reprovado
8,9,28,Reprovado
1,6,15,Reprovado
3,8,31,Reprovado
6,0,6,Reprovado
10,10,7,Aprovado
7,8,0,Aprovado
8,1,26,Reprovado
1,5,33,Reprovado
0,0,19,Reprovado
8,8,0,Aprovado
1,8,36,Reprovado
2,3,14,Reprovado
6,5,1,Aprovado
8,1,34,Reprovado
3,0,48,Reprovado
3,6,11,Reprovado
2,3,9,Reprovado
6,7,4,Aprovado
4,1,13,Reprovado
6,3,26,Reprovado
0,8,33,Reprovado
3,2,36,Reprovado
4,2,28,Reprovado
3,4,17,Reprovado
9,10,41,Reprovado
1,7,6,Reprovado
7,3,6,Reprovado
10,9,3,Aprovado
6,6,8,Aprovado
10,8,28,Reprovado
9,4,34,Reprovado
10,7,8,Aprovado
7,7,47,Reprovado
3,5,29,Reprovado
6,1,18,Reprovado
0,7,24,Reprovado
2,10,50,Reprovado
9,1,44,Reprovado
10,5,35,Reprovado
4,2,27,Reprovado
6,6,19,Aprovado
5,2,32,Reprovado
9,10,18,Aprovado
3,1,5,Reprovado
7,4,12,Aprovado
3,4,12,Reprovado
9,6,5,Aprovado
8,0,48,Reprovado
3,2,5,Reprovado
3,10,37,Reprovado
6,6,46,Reprovado
0,9,9,Aprovado
4,4,42,Reprovado
9,0,24,Reprovado
1,2,35,Reprovado
6,4,19,Reprovado
2,9,9,Aprovado
4,4,9,Reprovado
1,1,19,Reprovado
0,8,5,Reprovado
5,0,10,Reprovado
0,8,46,Reprovado
6,0,6,Reprovado
